"","L2/3","Oligo_1","AST-PP","OPC_1","L4_1","IN-VIP","L4_2","IN-PV","Neu-NRGN-II","Oligo_2","Microglia","IN-SST","L5/6-CC","IN-SV2C","L5/6_1","Endothelial","L5/6_2","OPC_2"
"AL450352.1",-0.1151126,-0.1495417,-0.1455883,-0.1481917,1.891682,-0.1432022,0.1452013,-0.1413068,-0.1380893,-0.1512708,-0.137431,-0.1288139,-0.1009387,-0.138955,-0.0798778,-0.1404688,-0.1387525,-0.153236
"AC112770.1",-0.08538917,-0.1505475,-0.151177,-0.1352688,1.467537,-0.0437483,0.2927602,-0.1444745,-0.1468811,-0.1511261,-0.1435383,-0.1375814,0.128525,-0.1469471,-0.120732,-0.1415754,-0.1207843,-0.155589
"AC073578.2",-0.09442741,-0.14813,-0.1480171,-0.1457551,1.700353,-0.1416917,0.271841,-0.1385082,-0.136381,-0.1499722,-0.1465915,-0.135162,-0.08365372,-0.1414629,-0.1246332,-0.1509419,-0.1397154,-0.1063888
"AC079793.1",-0.05617056,-0.1398506,-0.1332772,-0.08096442,0.833009,0.2265115,-0.0809048,-0.09610879,-0.1404167,-0.1390731,0.443074,-0.1173603,0.06974286,-0.1128192,0.03419308,-0.1085821,-0.08011374,-0.09782406
"AC246817.1",0.1895017,-0.2018063,-0.08290832,-0.1420514,1.143767,-0.1545019,0.2181969,-0.2017909,-0.2229161,-0.2198621,-0.1753281,-0.1932496,-0.100713,-0.1987558,-0.1902093,0.03349529,-0.06440954,-0.1996032
"AC084816.1",0.01276119,-0.2047976,-0.193391,-0.1959219,1.48012,-0.1631498,0.03539497,-0.1571004,-0.1931294,-0.2069275,-0.05949625,-0.1811273,0.6981078,-0.1431306,0.1639377,-0.1804356,-0.144799,-0.1150625
"AC016687.2",-0.1346086,-0.1939266,-0.1941272,-0.1929475,1.234595,-0.1883177,1.431419,-0.1890022,-0.1757477,-0.1925426,-0.1877685,-0.1937746,-0.09410535,-0.180499,-0.0566267,-0.1888127,-0.1497678,-0.2013353
"LINC02196",-0.0780997,-0.1355179,-0.006461325,-0.1270572,1.04556,0.04640166,0.006914612,-0.002179889,-0.1376105,-0.1454838,-0.1198814,-0.0465449,-0.05254945,0.001607918,-0.02312344,-0.1135829,0.264571,-0.1243027
"AC021134.1",-0.05747246,-0.1535564,-0.1549522,-0.149835,0.7547052,-0.1453871,1.058971,-0.1429386,-0.111777,-0.1591005,-0.1160833,-0.1512096,0.08838575,-0.1427501,-0.1247953,-0.146984,-0.103241,-0.1661447
"GREM2",-0.0832176,-0.2179418,-0.2101611,-0.2116229,0.8422444,0.09708596,0.2668387,0.3112004,-0.0288556,-0.2163731,-0.2081496,0.3443532,-0.140532,-0.1540481,0.3761737,-0.09929906,1.274518,-0.1983023
"LRMP",-0.0837149,-0.2371422,-0.2262931,-0.2300766,0.9562807,-0.2026003,0.6262691,-0.1643853,-0.1822183,-0.2440668,1.300524,-0.2041535,-0.06794111,-0.2056208,0.1031848,-0.1550132,0.8987465,0.3446054
"AL353586.1",0.3089764,-0.2483184,-0.243897,-0.2371566,0.8878962,-0.07204453,0.1491927,-0.1854607,-0.2501823,-0.2547126,-0.2453928,-0.1659067,0.4770926,-0.1211709,0.05812519,0.0524551,-0.1033149,-0.2410538
"AL355672.1",-0.07753859,-0.1053046,-0.1023807,-0.1010136,1.10127,-0.1018732,0.02849068,-0.08997667,-0.09643865,-0.109004,-0.0998196,0.02910107,0.1062216,-0.1025978,-0.07874359,-0.09634654,-0.07581129,-0.109004
"PAPSS2",0.05613164,-0.2263433,-0.2135376,0.06688993,0.8390815,-0.1279653,0.102944,-0.1054423,-0.1949567,-0.2297939,-0.1831641,-0.05977316,-0.1120007,0.577434,-0.03553703,1.010139,1.316024,0.05379319
"MIR31HG",0.1467569,-0.2468707,-0.2421865,-0.2453945,0.8139121,-0.2214136,0.3709848,-0.2342132,-0.2103683,-0.2425923,0.5199878,-0.2036993,0.2675836,-0.2321508,0.2714539,-0.183859,1.561245,0.02158601
"NEUROD6",0.06696498,-0.2255614,-0.2212686,-0.232188,0.8287388,-0.2295878,0.5559892,-0.2249072,0.6221061,-0.240638,-0.2072085,-0.2287353,0.1781453,-0.222248,0.124826,-0.1838447,0.1150505,-0.1834689
"TDO2",-0.05204653,-0.1782941,-0.1745416,-0.1783546,0.966172,0.04739983,0.8851904,-0.1736629,-0.1149724,-0.1808399,-0.1743365,-0.1823933,0.1042971,-0.1730709,-0.1216288,-0.1775408,-0.1662512,-0.189236
"AL138701.2",0.1994672,-0.2728822,-0.2708787,-0.2717331,0.536319,-0.2457826,0.7555121,-0.2586944,-0.2327176,-0.2660407,-0.265892,-0.2624263,1.294529,-0.2630976,0.44915,-0.2376534,0.7168301,-0.2510724
"AL033539.2",-0.1205705,-0.1318487,-0.1323518,-0.12616,0.7871259,-0.1210232,1.091635,-0.1233914,-0.1287465,-0.1359191,-0.1340019,-0.1258791,-0.1086408,-0.1223429,-0.1134795,-0.1229842,-0.112538,-0.1373129
"FRMPD2",0.008211874,-0.1834272,0.1348874,-0.1456383,0.668076,-0.1382033,0.0836441,-0.1520282,0.5347584,-0.1875772,-0.1570982,-0.1699725,-0.1380243,-0.1756646,-0.1429402,-0.1056388,0.1026788,-0.200444
"TPBG",0.1738928,-0.1528474,-0.1529464,-0.1528279,0.7045282,-0.142776,-0.130561,-0.1565068,0.4542926,-0.1555396,-0.1288003,-0.1471726,-0.0286008,-0.1587976,-0.1232438,-0.07259418,-0.1013751,-0.1394187
"MET",0.09433576,0.1215521,-0.1535962,-0.1555306,0.5018632,-0.1208765,-0.02901565,-0.1517065,0.1033682,-0.1321754,-0.1466309,-0.1432016,-0.1444326,-0.148814,-0.1421684,-0.04979671,0.03286106,-0.1721628
"TNNT2",0.3380701,-0.2034381,-0.2082668,-0.2118869,0.9878575,-0.1595317,-0.08858846,-0.183954,-0.07391107,-0.2091454,-0.1984791,-0.2107651,0.256131,-0.1996776,-0.1538441,-0.2010009,-0.1805775,-0.1597236
"FSHR",-0.009806335,-0.09581801,-0.09107871,-0.04658353,0.7277036,-0.08461559,-0.07382545,-0.09077136,-0.09168939,-0.09788542,-0.09109536,-0.08662869,-0.07438308,-0.07424073,-0.0691212,-0.08102304,1.632593,-0.05208115
"TWIST2",0.09916042,-0.1166298,-0.1132229,-0.1106555,0.8664892,-0.1023385,-0.1057441,-0.1063829,-0.06918912,-0.11849,-0.06516203,-0.1030069,-0.07085719,-0.1120118,-0.1078002,0.001884011,-0.1128872,-0.1198063
"AC099517.1",-0.1232268,-0.151497,-0.149509,-0.1434716,0.4985626,-0.1444875,1.000361,-0.1363036,-0.1274948,-0.154094,-0.1453664,-0.1423741,0.88618,-0.1491086,-0.04081682,-0.1236116,0.3016639,-0.1585853
"AC096570.1",0.1637882,-0.1720933,-0.1805774,-0.08093901,0.5168714,0.01003155,0.3226743,-0.1232785,-0.06290184,-0.1891447,-0.1812117,-0.1365931,0.169517,-0.05467713,-0.07196768,-0.161442,-0.123972,-0.1477976
"AP003066.1",-0.1391282,-0.1586773,-0.09504577,-0.1518058,0.6485505,-0.1360728,1.4939,-0.1391738,-0.1564776,-0.1621826,-0.1493766,-0.1352852,-0.1409494,-0.135508,-0.02342593,-0.1474712,-0.1411277,-0.144662
"AC009975.1",0.1328167,-0.1330748,-0.1261788,0.3323935,0.4136563,-0.08417692,-0.1005125,-0.1166128,-0.1428871,-0.1473376,-0.1378856,-0.1220707,-0.04909523,-0.07819137,-0.08649417,-0.1003043,0.6742088,0.1228619
"ADGRL4",-0.08409336,-0.1159349,-0.1135397,-0.1143087,0.5778729,0.2880336,0.02756226,-0.09503046,-0.1133051,-0.1243958,-0.09876851,-0.02945701,-0.01822237,-0.08632521,-0.05842742,2.096407,-0.06694034,-0.09576863
"LINC00378",0.0153143,-0.1172952,0.01492063,-0.1043457,0.4466596,-0.02364787,0.09014836,-0.003072809,-0.1250434,-0.1169283,-0.110698,-0.08076247,0.2224778,-0.03557004,-0.02591638,-0.1002049,-0.05283692,-0.006012477
"LINC00343",0.03050588,-0.151916,-0.1496256,-0.1492935,0.5129423,-0.1350397,0.07480523,-0.1424356,-0.08953822,-0.1438757,-0.1449595,-0.1463187,1.585986,-0.146109,-0.1061228,-0.1409159,-0.1250793,-0.1616504
"COL22A1",-0.0443739,-0.08839875,-0.07806699,-0.08229556,0.6870208,-0.02892191,0.1287147,-0.06357051,-0.08576336,-0.0936525,-0.08580087,-0.06967096,-0.06470876,-0.07592729,0.002481386,-0.05696755,-0.0453667,-0.09573467
"AL157769.1",0.04597351,-0.1052777,-0.1052273,-0.1039295,0.9660249,-0.08702519,-0.08475698,-0.09816765,-0.103718,-0.1034768,-0.07677029,-0.1000499,-0.09109017,-0.1005872,-0.09107844,-0.08975166,-0.09026867,-0.1069509
"CLMP",-0.1088787,-0.1909127,-0.1521614,-0.1944199,0.6299867,0.01460066,0.1468373,0.5842017,-0.1648403,-0.1965703,-0.1864678,0.5294244,-0.1054915,-0.0190234,0.412716,0.02556222,0.660854,-0.1659903
"LINC01821",0.2884517,-0.2495574,-0.2449464,-0.2475879,0.4672807,-0.2335498,1.046132,-0.2408341,-0.1742128,-0.2551128,-0.2334863,-0.2395687,-0.2209445,-0.2422091,0.8480373,-0.2302137,0.1745359,-0.261653
"AC114930.1",0.06564638,-0.1160677,-0.1015095,-0.1058634,0.6950618,-0.09599925,0.0695376,-0.1004967,-0.1098014,-0.1199023,0.03572995,-0.1077731,0.0006105687,-0.09837131,-0.07409762,-0.09775434,-0.03747404,-0.04292983
